Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,ecg_id,segment_id,label
-0.8027408,-2.345991,-2.3958106,0.1414431,3.4748702,1.1111319,-0.007848255,-0.15513058,-0.014728218,-4.0757046,0.05061505,-1.5488452,0.61153835,0.23991208,-0.07117738,1,seg_0a2s,NORM
-0.11094632,-1.9424719,-2.4537468,0.25357038,3.3382053,0.6142718,-0.05739203,-0.5395373,-0.029230282,-4.208497,0.39587438,-1.6733824,0.68056107,0.23113593,-0.273374,1,seg_2a4s,NORM
-1.2157493,-2.7605934,-2.124394,0.41858497,3.676925,1.063418,-0.0047409013,0.19631281,0.19454777,-3.707015,-0.07283771,-1.7159295,0.7713246,0.32127556,0.37033445,1,seg_4a6s,NORM
-1.0539702,-2.6140285,-2.1772532,0.430258,3.646639,1.121452,0.05578191,0.122386664,0.109745525,-3.6987493,-0.044524938,-1.6867073,0.80621713,0.25860548,0.39468044,1,seg_6a8s,NORM
-1.1914401,-2.8131866,-2.1109457,-0.038192898,3.9763567,1.2605995,0.057337485,0.37332582,-0.005310476,-3.7939222,-0.3840223,-1.7933779,0.63727385,0.35718954,0.44143522,1,seg_8a10s,NORM
-2.7081783,-3.3500912,-3.708344,-1.979111,2.3338256,-0.4123138,1.3189998,1.6901858,-0.94367,-1.1852716,0.4603257,-5.600408,-2.543531,-1.4314249,-0.58099234,2,seg_0a2s,NORM
0.28689373,-4.386811,-2.2029548,-3.0486178,5.603243,-1.871253,-1.6039866,-0.2984102,0.58708525,-3.3402822,0.9341298,-6.516055,-1.6461235,-0.65085596,-0.8764428,2,seg_2a4s,NORM
-0.7899265,-2.4671957,-2.8032203,-1.3513119,4.3591595,-0.85409486,-0.4682342,1.3282539,0.031236276,-1.8924767,1.0113593,-5.0377192,-1.3181165,-0.7358606,-0.35923758,2,seg_4a6s,NORM
-2.0299478,-5.1149435,-2.4581861,-2.7714474,7.2210574,-0.5637716,-0.48701307,2.35475,-0.27915204,-2.6687455,-0.71736616,-7.086942,-1.4007633,0.38622117,0.5002886,2,seg_6a8s,NORM
-3.017619,-4.927821,-2.0882564,-1.9035146,6.432377,-0.39758536,-0.80459774,2.2867944,0.31067866,-1.1030902,-0.3359792,-6.1279926,-1.5325305,-0.3470919,0.41835564,2,seg_8a10s,NORM
-0.7626261,-1.7562174,-2.3822355,-0.19972128,3.2275832,0.6912762,-0.76527077,0.34198368,0.60960686,-3.073408,0.32551503,-1.665554,0.14264837,0.23329133,-0.18939528,3,seg_0a2s,NORM
-1.417289,-2.05087,-2.6763625,-0.26674488,4.9087205,0.99593866,-0.6571254,1.5198061,-0.11823821,-2.8260624,-0.88640356,-1.9794571,-0.013534993,1.1218517,0.059911333,3,seg_2a4s,NORM
-0.40505663,-1.3763964,-3.5306125,-0.9566577,3.6587071,0.8778188,-1.0663447,-0.115606725,0.09911799,-2.6708999,-0.032783043,-1.653933,-0.43528765,0.15703818,0.13088647,3,seg_4a6s,NORM
-1.5602635,-1.5195175,-3.8823729,-0.6030787,1.786254,0.72663784,1.0793159,1.0564125,-0.82136744,-2.8602314,-0.14256775,-1.8087448,-0.71189576,0.041962825,-0.6603848,3,seg_6a8s,NORM
-1.9610845,-1.7827901,-3.404954,-0.22839314,1.8164544,0.6438559,0.7209023,1.1969507,-0.5329585,-2.3427312,-0.14308378,-1.8523312,-0.857497,0.052217215,-0.68308616,3,seg_8a10s,NORM
0.20430522,-3.300588,-4.5299664,-2.868072,4.8267107,-2.053048,-1.6686685,3.257374,-1.625653,-3.0365448,0.75608766,-7.5462646,-3.7587578,0.14438671,0.041760817,4,seg_0a2s,NORM
-0.4986285,-2.9369462,-4.2323766,-2.9839435,5.110961,-1.3531512,-1.8070763,2.670484,-1.6163538,-1.693623,0.023019254,-7.0044875,-3.8875122,0.096165925,0.17551573,4,seg_2a4s,NORM
0.24568479,-2.5206475,-7.6453457,-5.8756084,5.298984,-1.3902686,-1.4519778,0.40464723,-2.840377,-2.4854944,-0.81579393,-7.123261,-5.615396,-0.6263122,0.3490407,4,seg_4a6s,NORM
0.3349502,-3.3302364,-5.2088428,-3.4045398,5.181392,-2.1923425,-1.954231,2.8421903,-2.1082678,-3.0252194,0.55439115,-7.7971873,-4.163938,0.23645175,-0.28989145,4,seg_6a8s,NORM
1.2895362,-4.573362,-8.915712,-6.3895483,8.589196,-3.1413617,-2.2637815,2.6480243,-4.5425653,-5.346293,-1.2892736,-9.866006,-7.000592,0.36957037,0.859517,4,seg_8a10s,NORM
-0.31690627,-4.49905,-3.894024,-2.2304428,3.6436965,-1.5610983,-1.1550957,-0.78796566,-0.7893037,-2.1214359,0.16970694,-4.202059,-2.564351,-1.2241449,-0.41801557,5,seg_0a2s,NORM
0.079926,-3.8130162,-2.7538838,-0.8501515,4.187006,-1.236141,-1.1275162,0.25771815,-0.57017857,-2.6163857,0.20654261,-3.677837,-1.2552314,-0.2201644,-0.02463016,5,seg_2a4s,NORM
-1.2105883,-4.4114566,-2.5720701,-0.955046,4.4478345,-0.7639271,-0.5578954,0.96115243,-0.54606616,-2.1168008,-0.5042048,-4.0193505,-1.3934593,-0.10431875,0.25824738,5,seg_4a6s,NORM
-0.04840827,-4.2071037,-3.051053,-1.3846166,3.0602107,-0.9295441,-0.6445279,-0.47553235,-0.41237175,-3.375936,0.73956645,-3.5278654,-1.0530668,-0.83753204,-0.06292197,5,seg_6a8s,NORM
-1.8373277,-4.7469926,-2.6001968,-0.79422075,4.146596,-0.87086284,-0.90643525,1.4069263,-0.54495037,-1.478342,-0.60911226,-4.034239,-1.8805842,-0.09790887,0.2252151,5,seg_8a10s,NORM
-1.4582433,-5.0159664,-3.2892013,-1.6313148,4.904533,-1.5041441,0.42008278,2.1358054,-1.1692228,-3.0067089,0.75957793,-4.6919203,-0.58311737,-0.9824606,-1.1985062,6,seg_0a2s,NORM
-1.6584659,-5.337534,-3.4502954,-2.3766096,3.9872699,-1.4962969,1.6995586,1.541356,-0.58972126,-4.136681,1.6945045,-4.4159636,0.5884774,-1.7831112,-1.4957554,6,seg_2a4s,NORM
-0.78824794,-4.297983,-2.3390136,-0.9563182,4.4186196,-1.2040169,0.12356264,1.2583652,-1.4962275,-3.0765707,0.6087447,-4.323084,-0.6390427,-0.5863206,-1.1618303,6,seg_4a6s,NORM
-1.316064,-4.696344,-2.8282428,-1.3836739,4.5066156,-1.5639724,0.6318872,2.0759084,-1.2245286,-3.0639582,0.9301897,-4.5524244,-0.12386596,-0.7082181,-1.1935587,6,seg_6a8s,NORM
-2.4628046,-5.4682355,-2.1984787,-1.16012,5.066312,-0.88061094,0.87151,2.7207284,-0.61216146,-3.015808,0.67596376,-4.425004,0.30140728,-0.93390894,-1.064192,6,seg_8a10s,NORM
-1.2872025,-3.8935773,-2.953195,-1.5383251,4.305327,-0.30403098,-2.0569594,2.4900432,-2.4023287,-5.8497453,2.652297,-3.2184093,-1.4445065,-1.7366788,-1.6013902,7,seg_0a2s,NORM
-1.2828234,-3.9670842,-2.8236246,-1.3736408,4.2894044,-0.4771723,-2.0962062,2.5532987,-2.4133985,-5.8524213,2.8125083,-3.2667272,-1.479142,-1.8560634,-1.6833266,7,seg_2a4s,NORM
-1.1499839,-4.106618,-2.8054442,-1.4744985,4.471655,-0.40551975,-2.3546476,2.4073856,-2.3259633,-5.7005563,2.7331975,-3.270348,-1.4077882,-1.8184239,-1.5472367,7,seg_4a6s,NORM
-1.156794,-3.9010894,-2.6481175,-1.4083965,4.1372695,-0.41494605,-2.0401504,2.4172835,-2.1160421,-5.4712873,2.6323426,-3.1511278,-1.3101494,-1.7739494,-1.3896368,7,seg_6a8s,NORM
-1.3579086,-3.703834,-2.8524122,-1.464776,4.20943,-0.2465224,-2.0599666,2.5666676,-2.3991256,-5.581505,2.773248,-3.3058767,-1.3448886,-1.733332,-1.5988023,7,seg_8a10s,NORM
-1.2112684,-1.604789,-4.4822974,-2.5368032,6.0594344,0.8424914,-0.48893553,0.4611224,-2.3971143,-3.1142585,-0.72801846,-4.9409103,-2.2631493,0.26102746,-0.12906891,8,seg_0a2s,MI
