,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
I,1.0,0.5299450266733828,-0.4351202555555469,-0.8656393224016842,0.8461170228778849,0.07054486179629671,-0.46819841834581355,-0.13447251555941916,0.12002968889264541,0.3937944612686835,0.5410532059999119,0.5306481709189333
II,0.5299450266733828,1.0,0.5329521870146514,-0.8832539183699734,-0.00359409150052144,0.8832682676000863,-0.30467757887624547,-0.07147415539346642,0.26367956451140223,0.533037516556988,0.5619716099343491,0.5094845968323731
III,-0.4351202555555469,0.5329521870146514,1.0,-0.07405464774858168,-0.8480506325271097,0.8673956737423486,0.1436738531853236,0.0582864360134884,0.1601897829361733,0.17301648639334646,0.05680454673833517,0.011462625332170243
AVR,-0.8656393224016842,-0.8832539183699734,-0.07405464774858168,1.0,-0.4656267010117056,-0.5603087203091472,0.4387070135676084,0.11654371825569251,-0.2219268189645766,-0.5322453057432441,-0.6307590501671345,-0.5940421313068711
AVL,0.8461170228778849,-0.00359409150052144,-0.8480506325271097,-0.4656267010117056,1.0,-0.4719476435348551,-0.3607280969778901,-0.11383472984954136,-0.024242334478677904,0.12941426428459998,0.28492658470618576,0.3056315855027107
AVF,0.07054486179629671,0.8832682676000863,0.8673956737423486,-0.5603087203091472,-0.4719476435348551,1.0,-0.0996282035645604,-0.00986030988568951,0.24377275248171912,0.4093592777938155,0.36201285182446036,0.30601403700487684
V1,-0.46819841834581355,-0.30467757887624547,0.1436738531853236,0.4387070135676084,-0.3607280969778901,-0.0996282035645604,1.0,0.5672369900689315,0.3208224781828741,-0.02791015036882834,-0.264103452669371,-0.33760991290528675
V2,-0.13447251555941916,-0.07147415539346642,0.0582864360134884,0.11654371825569251,-0.11383472984954136,-0.00986030988568951,0.5672369900689315,1.0,0.6292167935819075,0.2805097875249862,-0.030224602914959403,-0.13644692977537795
V3,0.12002968889264541,0.26367956451140223,0.1601897829361733,-0.2219268189645766,-0.024242334478677904,0.24377275248171912,0.3208224781828741,0.6292167935819075,1.0,0.6083630451416338,0.28896252180368054,0.13006312263708322
V4,0.3937944612686835,0.533037516556988,0.17301648639334646,-0.5322453057432441,0.12941426428459998,0.4093592777938155,-0.02791015036882834,0.2805097875249862,0.6083630451416338,1.0,0.6273786112027895,0.4472432010134344
V5,0.5410532059999119,0.5619716099343491,0.05680454673833517,-0.6307590501671345,0.28492658470618576,0.36201285182446036,-0.264103452669371,-0.030224602914959403,0.28896252180368054,0.6273786112027895,1.0,0.5999289455365573
V6,0.5306481709189333,0.5094845968323731,0.011462625332170243,-0.5940421313068711,0.3056315855027107,0.30601403700487684,-0.33760991290528675,-0.13644692977537795,0.13006312263708322,0.4472432010134344,0.5999289455365573,1.0
