,count,mean,median,variance,std,min,q1,q3,iqr,max,outlier_pct
I,4875000.0,-0.0005806484102564102,-0.025,0.024762500242192946,0.15736105058810756,-3.325,-0.065,0.026,0.091,3.601,9.558707692307692
II,4875000.0,-4.632000000000062e-06,-0.022,0.028037766845983927,0.167444817315986,-2.079,-0.074,0.049,0.123,2.846,7.528164102564102
III,4875000.0,0.0005754836923076923,0.005,0.024872706124716017,0.15771083071468495,-2.868,-0.049,0.055,0.10400000000000001,3.294,7.745292307692307
AVR,4875000.0,0.00028088717948717947,0.025,0.020189850926156692,0.14209099523248014,-2.946,-0.031,0.065,0.096,2.585,8.114707692307691
AVL,4875000.0,-0.0005315706666666667,-0.012,0.017807395795374194,0.13344435467779892,-3.305,-0.051,0.03,0.08099999999999999,2.555,8.335425641025642
AVF,4875000.0,0.0003039421538461542,-0.006,0.020225245882807295,0.14221549100856523,-2.333,-0.055,0.047,0.10200000000000001,2.577,7.400964102564103
V1,4875000.0,0.00010269435897435961,0.022,0.05851723677371207,0.2419033624688009,-6.3,-0.03,0.07,0.1,8.418,12.558441025641025
V2,4875000.0,-0.0005183341538461534,0.0,0.12199937371911494,0.34928408741183004,-11.33,-0.074,0.1,0.174,6.987,12.544882051282052
V3,4875000.0,-0.0015200215384615383,-0.021,0.10679756066530427,0.3267989606245777,-5.116,-0.096,0.084,0.18,7.141,12.13113846153846
V4,4875000.0,-0.0012945487179487182,-0.035,0.08717037372379609,0.29524629332778435,-11.354,-0.104,0.059,0.16299999999999998,7.51,10.953148717948718
V5,4875000.0,-0.0002883696410256409,-0.04,0.08141746755463579,0.2853374625853321,-3.505,-0.1,0.045,0.14500000000000002,8.265,10.830051282051283
V6,4875000.0,-0.0002957679999999998,-0.035,0.0690345185843709,0.26274420751820754,-5.258,-0.09,0.043,0.133,6.657,11.170358974358974
